%time.ns;field.joint2.degree;Field.velocity.degree/s
1407505561652230000;170.252502441;0
1407505561663890000;170.252502441;0
1407505561691890000;170.252502441;0
1407505561718870000;170.252502441;0
1407505561747860000;170.252502441;0
1407505561776900000;170.252502441;0
1407505561806980000;170.252502441;0
1407505561836980000;170.252502441;0
1407505561866970000;170.252502441;0
1407505561896970000;170.252502441;0
1407505561925230000;170.252502441;0
1407505561952930000;170.252502441;0
1407505561982960000;170.252502441;0
1407505562014020000;170.252502441;0
1407505562043000000;170.252502441;0
1407505562072950000;170.252502441;0
1407505562102980000;170.252502441;0
1407505562132010000;170.252502441;0
1407505562160990000;170.252502441;0
1407505562189900000;170.252502441;0
1407505562217900000;170.252502441;0
1407505562246910000;170.252502441;0
1407505562274880000;170.252502441;0
1407505562302890000;170.252502441;0
1407505562330990000;170.252502441;0
1407505562353930000;170.252502441;0
1407505562380930000;170.252502441;0
1407505562410000000;170.252502441;0
1407505562436010000;170.252502441;0
1407505562467960000;170.252502441;0
1407505562496010000;170.252502441;0
1407505562525010000;170.252502441;0
1407505562548900000;170.252502441;0
1407505562572860000;170.252502441;0
1407505562597880000;170.252502441;0
1407505562623860000;170.252502441;0
1407505562649850000;170.252502441;0
1407505562676020000;170.252502441;0
1407505562700930000;170.252502441;0
1407505562726980000;170.252502441;0
1407505562754030000;170.252502441;0
1407505562779890000;170.252502441;0
1407505562807920000;170.252502441;0
1407505562833890000;170.252502441;0
1407505562861950000;170.252502441;0
1407505562890990000;170.252502441;0
1407505562916930000;170.252502441;0
1407505562943840000;170.252502441;0
1407505562970840000;170.252502441;0
1407505563000850000;170.252502441;0
1407505563027030000;170.252502441;0
1407505563054010000;170.252502441;0
1407505563081970000;170.252502441;0
1407505563113070000;170.252502441;0
1407505563141020000;170.252502441;0
1407505563170000000;170.252502441;0
1407505563201000000;170.252502441;0
1407505563229890000;170.252502441;0
1407505563258890000;170.252502441;0
1407505563286840000;170.252502441;0
1407505563316870000;170.252502441;0
1407505563343850000;170.252502441;0
1407505563373970000;170.252502441;0
1407505563403950000;170.252502441;0
1407505563408600000;170.252502441;10
1407505563434970000;170.252502441;10
1407505563464990000;170.252502441;10
1407505563492990000;170.252502441;10
1407505563523930000;170.252502441;10
1407505563553990000;170.252502441;10
1407505563580930000;170.252502441;10
1407505563607840000;170.252502441;10
1407505563636910000;170.252502441;10
1407505563666870000;170.252502441;10
1407505563694960000;170.252502441;10
1407505563723930000;170.352508545;10
1407505563754940000;170.352508545;10
1407505563786960000;170.352508545;10
1407505563814860000;170.452514648;10
1407505563839030000;170.452514648;10
1407505563868960000;170.452514648;10
1407505563895870000;170.452514648;10
1407505563924840000;170.552520752;10
1407505563952870000;170.552520752;10
1407505563980840000;170.652526855;10
1407505564010970000;170.752532959;10
1407505564040980000;170.752532959;10
1407505564068970000;170.852539062;10
1407505564098930000;170.852539062;10
1407505564129590000;171.05255127;10
1407505564157890000;171.05255127;10
1407505564184960000;171.152557373;10
1407505564210970000;171.152557373;10
1407505564239960000;171.252563477;10
1407505564267950000;171.252563477;10
1407505564299920000;171.35256958;10
1407505564328990000;171.35256958;10
1407505564357990000;171.452575684;10
1407505564386950000;171.452575684;10
1407505564415880000;171.552581787;10
1407505564445890000;171.552581787;10
1407505564473850000;171.652587891;10
1407505564502860000;171.652587891;10
1407505564531950000;171.752593994;10
1407505564558970000;171.752593994;10
1407505564587890000;171.852600098;10
1407505564617840000;171.852600098;10
1407505564648880000;171.952606201;10
1407505564678920000;171.952606201;10
1407505564708890000;172.052612305;10
1407505564737860000;172.052612305;10
1407505564767860000;172.052612305;10
1407505564792820000;172.152618408;10
1407505564818820000;172.252624512;10
1407505564847820000;172.252624512;10
1407505564878930000;172.352630615;10
1407505564906950000;172.352630615;10
1407505564933940000;172.452636719;10
1407505564964970000;172.552642822;10
1407505564995130000;172.552642822;10
1407505565024920000;172.652648926;10
1407505565054000000;172.652648926;10
1407505565083870000;172.752655029;10
1407505565113850000;172.752655029;10
1407505565143840000;172.852661133;10
1407505565173860000;172.852661133;10
1407505565202960000;172.952667236;10
1407505565233950000;173.05267334;10
1407505565263910000;173.05267334;10
1407505565294840000;173.05267334;10
1407505565321910000;173.152679443;10
1407505565350990000;173.252685547;10
1407505565375830000;173.252685547;10
1407505565403870000;173.252685547;10
1407505565408530000;173.252685547;5
1407505565433830000;173.35269165;5
1407505565463840000;173.35269165;5
1407505565489850000;173.452697754;5
1407505565519990000;173.452697754;5
1407505565548910000;173.552703857;5
1407505565577940000;173.552703857;5
1407505565607960000;173.652709961;5
1407505565632860000;173.652709961;5
1407505565658880000;173.752716064;5
1407505565685830000;173.752716064;5
1407505565715850000;173.752716064;5
1407505565743840000;173.852722168;5
1407505565772850000;173.852722168;5
1407505565798850000;173.852722168;5
1407505565826960000;174.052734375;5
1407505565855910000;174.052734375;5
1407505565884900000;174.152740479;5
1407505565914900000;174.152740479;5
1407505565943550000;174.152740479;5
1407505565969970000;174.252746582;5
1407505565999980000;174.352752686;5
1407505566029940000;174.452758789;5
1407505566057930000;174.452758789;5
1407505566087920000;174.452758789;5
1407505566118910000;174.552764893;5
1407505566148960000;174.652770996;5
1407505566179940000;174.652770996;5
1407505566207810000;174.7527771;5
1407505566236890000;174.7527771;5
1407505566262830000;174.852783203;5
1407505566289810000;174.852783203;5
1407505566318870000;174.952789307;5
1407505566346920000;174.952789307;5
1407505566375890000;175.05279541;5
