%time,field.joint1,field.joint2,field.joint3,field.joint4,field.joint5,field.joint6
1407505596300960177,0.0,0.0,0.0,0.0,0.0,0.0
1407505596301975983,0.0,0.0,0.0,0.0,0.0,0.0
1407505596302966260,0.0,0.0,0.0,0.0,0.0,0.0
1407505596303975069,0.0,0.0,0.0,0.0,0.0,0.0
1407505596304951958,0.0,0.0,0.0,0.0,0.0,0.0
1407505596305926757,0.0,0.0,0.0,0.0,0.0,0.0
1407505596306971900,0.0,0.0,0.0,0.0,0.0,0.0
1407505596307969637,0.0,0.0,0.0,0.0,0.0,0.0
1407505596309030360,0.0,0.0,0.0,0.0,0.0,0.0
1407505596309949967,0.0,0.0,0.0,0.0,0.0,0.0
1407505596310941146,0.0,0.0,0.0,0.0,0.0,0.0
1407505596311949869,0.0,0.0,0.0,0.0,0.0,0.0
1407505596312972760,0.0,0.0,0.0,0.0,0.0,0.0
1407505596313940601,0.0,0.0,0.0,0.0,0.0,0.0
1407505596314944430,0.0,0.0,0.0,0.0,0.0,0.0
1407505596315953004,0.0,0.0,0.0,0.0,0.0,0.0
1407505596316968205,0.0,0.0,0.0,0.0,0.0,0.0
1407505596317991684,0.0,0.0,0.0,0.0,0.0,0.0
1407505596318934881,0.0,0.0,0.0,0.0,0.0,0.0
1407505596319963903,0.0,0.0,0.0,0.0,0.0,0.0
1407505596320975629,0.0,0.0,0.0,0.0,0.0,0.0
1407505596321950418,0.0,0.0,0.0,0.0,0.0,0.0
1407505596322955994,0.0,0.0,0.0,0.0,0.0,0.0
1407505596323988366,0.0,0.0,0.0,0.0,0.0,0.0
1407505596324926237,0.0,0.0,0.0,0.0,0.0,0.0
1407505596325943111,0.0,0.0,0.0,0.0,0.0,0.0
1407505596326944463,0.0,0.0,0.0,0.0,0.0,0.0
1407505596327942893,0.0,0.0,0.0,0.0,0.0,0.0
1407505596328981103,0.0,0.0,0.0,0.0,0.0,0.0
1407505596329960300,0.0,0.0,0.0,0.0,0.0,0.0
1407505596330958665,0.0,0.0,0.0,0.0,0.0,0.0
1407505596331965822,0.0,0.0,0.0,0.0,0.0,0.0
1407505596332917457,0.0,0.0,0.0,0.0,0.0,0.0
1407505596333973603,0.0,0.0,0.0,0.0,0.0,0.0
1407505596334962489,0.0,0.0,0.0,0.0,0.0,0.0
1407505596335920508,0.0,0.0,0.0,0.0,0.0,0.0
1407505596336934691,0.0,0.0,0.0,0.0,0.0,0.0
1407505596337934902,0.0,0.0,0.0,0.0,0.0,0.0
1407505596338930566,0.0,0.0,0.0,0.0,0.0,0.0
1407505596339950904,0.0,0.0,0.0,0.0,0.0,0.0
1407505596340940752,0.0,0.0,0.0,0.0,0.0,0.0
1407505596341958226,0.0,0.0,0.0,0.0,0.0,0.0
1407505596342954906,0.0,0.0,0.0,0.0,0.0,0.0
1407505596343955336,0.0,0.0,0.0,0.0,0.0,0.0
1407505596344947828,0.0,0.0,0.0,0.0,0.0,0.0
1407505596345972816,0.0,0.0,0.0,0.0,0.0,0.0
1407505596346935951,0.0,0.0,0.0,0.0,0.0,0.0
1407505596347947265,0.0,0.0,0.0,0.0,0.0,0.0
1407505596348908820,0.0,0.0,0.0,0.0,0.0,0.0
1407505596349937431,0.0,0.0,0.0,0.0,0.0,0.0
1407505596350984581,0.0,0.0,0.0,0.0,0.0,0.0
1407505596351968413,0.0,0.0,0.0,0.0,0.0,0.0
1407505596352968908,0.0,0.0,0.0,0.0,0.0,0.0
1407505596353965983,0.0,0.0,0.0,0.0,0.0,0.0
1407505596354878526,0.0,0.0,0.0,0.0,0.0,0.0
1407505596355871910,0.0,0.0,0.0,0.0,0.0,0.0
1407505596356886672,0.0,0.0,0.0,0.0,0.0,0.0
1407505596357867543,0.0,0.0,0.0,0.0,0.0,0.0
1407505596358841770,0.0,0.0,0.0,0.0,0.0,0.0
1407505596359874458,0.0,0.0,0.0,0.0,0.0,0.0
1407505596360880269,0.0,0.0,0.0,0.0,0.0,0.0
1407505596362020837,0.0,0.0,0.0,0.0,0.0,0.0
1407505596363023584,0.0,0.0,0.0,0.0,0.0,0.0
1407505596364005106,0.0,0.0,0.0,0.0,0.0,0.0
1407505596364944953,0.0,0.0,0.0,0.0,0.0,0.0
1407505596365889131,0.0,0.0,0.0,0.0,0.0,0.0
1407505596366910458,0.0,0.0,0.0,0.0,0.0,0.0
1407505596367922268,0.0,0.0,0.0,0.0,0.0,0.0
1407505596368946222,0.0,0.0,0.0,0.0,0.0,0.0
1407505596369915699,0.0,0.0,0.0,0.0,0.0,0.0
1407505596370923020,0.0,0.0,0.0,0.0,0.0,0.0
1407505596371904421,0.0,0.0,0.0,0.0,0.0,0.0
1407505596372949543,0.0,0.0,0.0,0.0,0.0,0.0
1407505596373914331,0.0,0.0,0.0,0.0,0.0,0.0
1407505596374917269,0.0,0.0,0.0,0.0,0.0,0.0
1407505596375977644,0.0,0.0,0.0,0.0,0.0,0.0
1407505596376943422,0.0,0.0,0.0,0.0,0.0,0.0
1407505596377944425,0.0,0.0,0.0,0.0,0.0,0.0
1407505596378945503,0.0,0.0,0.0,0.0,0.0,0.0
1407505596379897870,0.0,0.0,0.0,0.0,0.0,0.0
1407505596380911897,0.0,0.0,0.0,0.0,0.0,0.0
1407505596381909831,0.0,0.0,0.0,0.0,0.0,0.0
1407505596382925649,0.0,0.0,0.0,0.0,0.0,0.0
1407505596383946952,0.0,0.0,0.0,0.0,0.0,0.0
1407505596384937368,0.0,0.0,0.0,0.0,0.0,0.0
1407505596385926301,0.0,0.0,0.0,0.0,0.0,0.0
1407505596386894742,0.0,0.0,0.0,0.0,0.0,0.0
1407505596387902908,0.0,0.0,0.0,0.0,0.0,0.0
1407505596388909553,0.0,0.0,0.0,0.0,0.0,0.0
1407505596389950541,0.0,0.0,0.0,0.0,0.0,0.0
1407505596390907734,0.0,0.0,0.0,0.0,0.0,0.0
1407505596391997291,0.0,0.0,0.0,0.0,0.0,0.0
1407505596392993280,0.0,0.0,0.0,0.0,0.0,0.0
1407505596393929893,0.0,0.0,0.0,0.0,0.0,0.0
1407505596395003236,0.0,0.0,0.0,0.0,0.0,0.0
1407505596395988503,0.0,0.0,0.0,0.0,0.0,0.0
1407505596396979770,0.0,0.0,0.0,0.0,0.0,0.0
1407505596397912211,0.0,0.0,0.0,0.0,0.0,0.0
1407505596398964235,0.0,0.0,0.0,0.0,0.0,0.0
1407505596399910033,0.0,0.0,0.0,0.0,0.0,0.0
1407505596400948988,0.0,0.0,0.0,0.0,0.0,0.0
1407505596402013452,0.0,0.0,0.0,0.0,0.0,0.0
1407505596402955759,0.0,0.0,0.0,0.0,0.0,0.0
1407505596403991710,0.0,0.0,0.0,0.0,0.0,0.0
1407505596404956072,0.0,0.0,0.0,0.0,0.0,0.0
1407505596405914889,0.0,0.0,0.0,0.0,0.0,0.0
1407505596406943360,0.0,0.0,0.0,0.0,0.0,0.0
1407505596407977716,0.0,0.0,0.0,0.0,0.0,0.0
1407505596408932811,0.0,0.0,0.0,0.0,0.0,0.0
1407505596409936443,0.0,0.0,0.0,0.0,0.0,0.0
1407505596410928019,0.0,0.0,0.0,0.0,0.0,0.0
1407505596411893794,0.0,0.0,0.0,0.0,0.0,0.0
1407505596412898105,0.0,0.0,0.0,0.0,0.0,0.0
1407505596413888688,0.0,0.0,0.0,0.0,0.0,0.0
1407505596414899254,0.0,0.0,0.0,0.0,0.0,0.0
1407505596415885905,0.0,0.0,0.0,0.0,0.0,0.0
1407505596416883571,0.0,0.0,0.0,0.0,0.0,0.0
1407505596417872496,0.0,0.0,0.0,0.0,0.0,0.0
1407505596418918322,0.0,0.0,0.0,0.0,0.0,0.0
1407505596419906492,0.0,0.0,0.0,0.0,0.0,0.0
