%time.ns;field.joint6.degree;field.velocity.degree/s
1407505792867630000;79.8486328125;0
1407505792879640000;79.8486328125;0
1407505792908730000;79.8486328125;0
1407505792938740000;79.8486328125;0
1407505792969750000;79.8486328125;0
1407505793000760000;79.8486328125;0
1407505793031160000;79.8486328125;0
1407505793059780000;79.8486328125;0
1407505793087760000;79.8486328125;0
1407505793118810000;79.8486328125;0
1407505793148780000;79.8486328125;0
1407505793178750000;79.8486328125;0
1407505793204660000;79.8486328125;0
1407505793233670000;79.8486328125;0
1407505793260710000;79.8486328125;0
1407505793287640000;79.8486328125;0
1407505793311630000;79.8486328125;0
1407505793335590000;79.8486328125;0
1407505793359590000;79.8486328125;0
1407505793390640000;79.8486328125;0
1407505793421760000;79.8486328125;0
1407505793451790000;79.8486328125;0
1407505793480830000;79.8486328125;0
1407505793508790000;79.8486328125;0
1407505793540740000;79.8486328125;0
1407505793569680000;79.8486328125;0
1407505793596590000;79.8486328125;0
1407505793621620000;79.8486328125;0
1407505793648640000;79.8486328125;0
1407505793673650000;79.8486328125;0
1407505793700600000;79.8486328125;0
1407505793730620000;79.8486328125;0
1407505793760770000;79.8486328125;0
1407505793788760000;79.8486328125;0
1407505793819750000;79.8486328125;0
1407505793850660000;79.8486328125;0
1407505793878710000;79.8486328125;0
1407505793906750000;79.8486328125;0
1407505793937750000;79.8486328125;0
1407505793967660000;79.8486328125;0
1407505793997640000;79.8486328125;0
1407505794024630000;79.8486328125;0
1407505794048590000;79.8486328125;0
1407505794077590000;79.8486328125;0
1407505794108740000;79.8486328125;0
1407505794138740000;79.8486328125;0
1407505794168690000;79.8486328125;0
1407505794195780000;79.8486328125;0
1407505794220610000;79.8486328125;0
1407505794247620000;79.8486328125;0
1407505794275610000;79.8486328125;0
1407505794299650000;79.8486328125;0
1407505794325630000;79.8486328125;0
1407505794353630000;79.8486328125;0
1407505794381620000;79.8486328125;0
1407505794408590000;79.8486328125;0
1407505794439770000;79.8486328125;0
1407505794469690000;79.8486328125;0
1407505794499700000;79.8486328125;0
1407505794529750000;79.8486328125;0
1407505794556640000;79.8486328125;0
1407505794577690000;79.8486328125;0
1407505794608810000;79.8486328125;0
1407505794628880000;79.8486328125;10
1407505794637640000;79.8486328125;10
1407505794666620000;79.8486328125;10
1407505794692610000;79.8486328125;10
1407505794722600000;79.8486328125;10
1407505794750600000;79.8486328125;10
1407505794777600000;79.8486328125;10
1407505794809690000;79.8486328125;10
1407505794837720000;79.8486328125;10
1407505794868690000;79.9986343384;10
1407505794898740000;79.9986343384;10
1407505794925650000;79.9986343384;10
1407505794952670000;80.1486358643;10
1407505794980620000;80.1486358643;10
1407505795007650000;80.2986373901;10
1407505795035610000;80.2986373901;10
1407505795059610000;80.2986373901;10
1407505795084590000;80.2986373901;10
1407505795112600000;80.448638916;10
1407505795140720000;80.448638916;10
1407505795167720000;80.5986404419;10
1407505795193720000;80.5986404419;10
1407505795224720000;80.5986404419;10
1407505795254670000;80.5986404419;10
1407505795282760000;80.7486419678;10
1407505795311620000;80.7486419678;10
1407505795340640000;80.7486419678;10
1407505795367630000;80.8986434937;10
1407505795395620000;80.8986434937;10
1407505795422610000;80.8986434937;10
1407505795451700000;81.0486450195;10
1407505795481720000;81.0486450195;10
1407505795512720000;81.0486450195;10
1407505795543710000;81.1986465454;10
1407505795573710000;81.1986465454;10
1407505795602750000;81.1986465454;10
1407505795629700000;81.3486480713;10
1407505795659810000;81.3486480713;10
1407505795690640000;81.3486480713;10
1407505795720720000;81.4986495972;10
1407505795749770000;81.4986495972;10
1407505795775690000;81.4986495972;10
1407505795803600000;81.648651123;10
1407505795831670000;81.648651123;10
1407505795858630000;81.648651123;10
1407505795888580000;81.7986526489;10
1407505795916620000;81.7986526489;10
1407505795946650000;81.7986526489;10
1407505795973670000;81.9486541748;10
1407505796004670000;81.9486541748;10
1407505796033640000;82.0986557007;10
1407505796061720000;82.0986557007;10
1407505796088670000;82.0986557007;10
1407505796119580000;82.2486572266;10
1407505796147580000;82.2486572266;10
1407505796176570000;82.2486572266;10
1407505796205610000;82.3986587524;10
1407505796235640000;82.3986587524;10
1407505796266700000;82.3986587524;10
1407505796297700000;82.5486602783;10
1407505796327750000;82.5486602783;10
1407505796358720000;82.5486602783;10
1407505796383600000;82.5486602783;10
1407505796409610000;82.6986618042;10
1407505796437720000;82.6986618042;10
1407505796466620000;82.6986618042;10
1407505796495590000;82.6986618042;10
1407505796525630000;82.8486633301;10
1407505796555740000;82.8486633301;10
1407505796586670000;82.998664856;10
1407505796616680000;82.998664856;10
1407505796628940000;82.998664856;5
1407505796646740000;82.998664856;5
1407505796677620000;83.1486663818;5
1407505796706600000;83.1486663818;5
1407505796732690000;83.1486663818;5
1407505796760740000;83.2986679077;5
1407505796791690000;83.2986679077;5
1407505796820670000;83.4486694336;5
1407505796848640000;83.4486694336;5
1407505796877010000;83.4486694336;5
1407505796905710000;83.5986709595;5
1407505796933590000;83.5986709595;5
1407505796960600000;83.5986709595;5
1407505796989580000;83.5986709595;5
1407505797018590000;83.7486724854;5
1407505797048600000;83.7486724854;5
1407505797079630000;83.8986740112;5
1407505797101720000;83.8986740112;5
1407505797129740000;83.8986740112;5
1407505797156670000;84.0486755371;5
1407505797182640000;84.0486755371;5
1407505797210720000;84.0486755371;5
1407505797240640000;84.0486755371;5
1407505797268590000;84.198677063;5
1407505797295600000;84.198677063;5
1407505797324590000;84.198677063;5
1407505797352610000;84.3486785889;5
1407505797382770000;84.3486785889;5
1407505797413660000;84.3486785889;5
1407505797444710000;84.4986801147;5
1407505797474670000;84.4986801147;5
1407505797501690000;84.4986801147;5
1407505797525650000;84.6486816406;5
1407505797552690000;84.6486816406;5
1407505797581570000;84.6486816406;5
1407505797610600000;84.7986831665;5
1407505797639600000;84.7986831665;5
1407505797668580000;84.7986831665;5
1407505797697580000;84.9486846924;5
1407505797726760000;84.9486846924;5
1407505797756670000;84.9486846924;5
1407505797787700000;85.0986862183;5
1407505797817690000;85.0986862183;5
1407505797846800000;85.0986862183;5
1407505797873620000;85.2486877441;5
1407505797897700000;85.2486877441;5
1407505797925590000;85.2486877441;5
1407505797952590000;85.39868927;5
1407505797981570000;85.39868927;5
1407505798009580000;85.39868927;5
1407505798037590000;85.5486907959;5
1407505798065600000;85.5486907959;5
1407505798092620000;85.5486907959;5
1407505798117670000;85.6986923218;5
1407505798147690000;85.6986923218;5
1407505798176680000;85.8486938477;5
1407505798204780000;85.8486938477;5
1407505798230740000;85.8486938477;5
1407505798259610000;85.8486938477;5
1407505798288690000;85.9986953735;5
1407505798314590000;85.9986953735;5
1407505798339580000;85.9986953735;5
1407505798365570000;86.1486968994;5
1407505798393550000;86.1486968994;5
1407505798422660000;86.1486968994;5
1407505798452690000;86.2986984253;5
1407505798483710000;86.2986984253;5
1407505798512680000;86.2986984253;5
1407505798542690000;86.4486999512;5
1407505798569600000;86.4486999512;5
1407505798598720000;86.4486999512;5
1407505798627720000;86.5987014771;5
1407505798629420000;86.5987014771;0
1407505798653710000;86.5987014771;0
1407505798685710000;86.5987014771;0
1407505798714760000;86.7487030029;0
1407505798743670000;86.7487030029;0
1407505798773670000;86.7487030029;0
1407505798801580000;86.7487030029;0
1407505798831640000;86.7487030029;0
1407505798857580000;86.7487030029;0
1407505798882560000;86.7487030029;0
1407505798909560000;86.7487030029;0
1407505798934560000;86.7487030029;0
1407505798960670000;86.7487030029;0
1407505798986670000;86.7487030029;0
1407505799012660000;86.7487030029;0
1407505799039690000;86.7487030029;0
1407505799066780000;86.7487030029;0
1407505799098300000;86.7487030029;0
1407505799123710000;86.7487030029;0
1407505799152590000;86.7487030029;0
1407505799179570000;86.7487030029;0
1407505799208580000;86.7487030029;0
1407505799238590000;86.7487030029;0
1407505799264630000;86.7487030029;0
1407505799291570000;86.7487030029;0
1407505799318690000;86.7487030029;0
1407505799348700000;86.7487030029;0
1407505799379670000;86.7487030029;0
1407505799408690000;86.7487030029;0
1407505799436710000;86.7487030029;0
1407505799465730000;86.7487030029;0
1407505799493670000;86.7487030029;0
1407505799524590000;86.7487030029;0
1407505799552590000;86.7487030029;0
1407505799581590000;86.7487030029;0
1407505799610570000;86.7487030029;0
1407505799640710000;86.7487030029;0
1407505799670680000;86.7487030029;0
1407505799699700000;86.7487030029;0
1407505799725690000;86.7487030029;0
1407505799755630000;86.7487030029;0
1407505799784690000;86.7487030029;0
1407505799813590000;86.7487030029;0
1407505799841570000;86.7487030029;0
1407505799869590000;86.7487030029;0
1407505799899580000;86.7487030029;0
1407505799929580000;86.7487030029;0
1407505799959670000;86.7487030029;0
1407505799989670000;86.7487030029;0
1407505800018680000;86.7487030029;0
1407505800047690000;86.7487030029;0
1407505800076990000;86.7487030029;0
1407505800103870000;86.7487030029;0
1407505800130700000;86.7487030029;0
1407505800160610000;86.7487030029;0
1407505800188590000;86.7487030029;0
1407505800217550000;86.7487030029;0
1407505800247540000;86.7487030029;0
1407505800276550000;86.7487030029;0
1407505800305720000;86.7487030029;0
1407505800334630000;86.7487030029;0
1407505800364660000;86.7487030029;0
1407505800393660000;86.7487030029;0
1407505800423590000;86.7487030029;0
1407505800451770000;86.7487030029;0
1407505800482630000;86.7487030029;0
1407505800512550000;86.7487030029;0
1407505800542610000;86.7487030029;0
1407505800572550000;86.7487030029;0
1407505800602550000;86.7487030029;0
1407505800632590000;86.7487030029;0
1407505800663750000;86.7487030029;0
1407505800676660000;86.7487030029;0
1407505800689740000;86.7487030029;0
1407505800703790000;86.7487030029;0
1407505800716710000;86.7487030029;0
1407505800729700000;86.7487030029;0
1407505800743760000;86.7487030029;0
1407505800758460000;86.7487030029;0
1407505800769670000;86.7487030029;0
1407505800780720000;86.7487030029;0
1407505800791610000;86.7487030029;0
1407505800800810000;86.7487030029;0
