%time.ns;field.joint1.deg;Vel.deg/s
1407756406355430000;279.102813721;0
1407756406380470000;279.102813721;0
1407756406402440000;279.102813721;0
1407756406428440000;279.102813721;0
1407756406457480000;279.102813721;0
1407756406483400000;279.102813721;0
1407756406513500000;279.102813721;0
1407756406541450000;279.102813721;0
1407756406568470000;279.102813721;0
1407756406595490000;279.102813721;0
1407756406622480000;279.102813721;0
1407756406651560000;279.102813721;0
1407756406679610000;279.102813721;0
1407756406708350000;279.102813721;0
1407756406738370000;279.102813721;0
1407756406768360000;279.102813721;0
1407756406795360000;279.102813721;0
1407756406824470000;279.102813721;0
1407756406853440000;279.102813721;0
1407756406883470000;279.102813721;0
1407756406911500000;279.102813721;0
1407756406938890000;279.102813721;0
1407756406968100000;279.102813721;0
1407756406993460000;279.102813721;0
1407756407022480000;279.102813721;0
1407756407053380000;279.102813721;0
1407756407083370000;279.102813721;0
1407756407113390000;279.102813721;0
1407756407140500000;279.102813721;0
1407756407169500000;279.102813721;0
1407756407199510000;279.102813721;0
1407756407228500000;279.102813721;0
1407756407256450000;279.102813721;0
1407756407287510000;279.102813721;0
1407756407315570000;279.102813721;0
1407756407343470000;279.102813721;0
1407756407374500000;279.102813721;0
1407756407403480000;279.102813721;0
1407756407433590000;279.102813721;0
1407756407463350000;279.102813721;0
1407756407489370000;279.102813721;0
1407756407518400000;279.102813721;0
1407756407548390000;279.102813721;0
1407756407578450000;279.102813721;0
1407756407609460000;279.102813721;0
1407756407638460000;279.102813721;0
1407756407668480000;279.102813721;0
1407756407698380000;279.102813721;0
1407756407725450000;279.102813721;0
1407756407752460000;279.102813721;0
1407756407783370000;279.102813721;0
1407756407812380000;279.102813721;0
1407756407842370000;279.102813721;0
1407756407870490000;279.102813721;0
1407756407898430000;279.102813721;0
1407756407925450000;279.102813721;0
1407756407954460000;279.102813721;0
1407756407985450000;279.102813721;0
1407756408013470000;279.102813721;0
1407756408038430000;279.102813721;0
1407756408065430000;279.102813721;0
1407756408093360000;279.102813721;0
1407756408101020000;279.102813721;5
1407756408121350000;279.102813721;5
1407756408149470000;279.102813721;5
1407756408181480000;279.102813721;5
1407756408211450000;279.102813721;5
1407756408241460000;279.102813721;5
1407756408271410000;279.102813721;5
1407756408297380000;279.102813721;5
1407756408326450000;279.202819824;5
1407756408356450000;279.202819824;5
1407756408387470000;279.302825928;5
1407756408416390000;279.302825928;5
1407756408446720000;279.402832031;5
1407756408473630000;279.402832031;5
1407756408503480000;279.502838135;5
1407756408532350000;279.502838135;5
1407756408558340000;279.602844238;5
1407756408585340000;279.602844238;5
1407756408611450000;279.702850342;5
1407756408640440000;279.702850342;5
1407756408670440000;279.802856445;5
1407756408696420000;279.802856445;5
1407756408723060000;279.902862549;5
1407756408750370000;279.902862549;5
1407756408780450000;280.002868652;5
1407756408810380000;280.002868652;5
1407756408841340000;280.102874756;5
1407756408871390000;280.102874756;5
1407756408900470000;280.202880859;5
1407756408928460000;280.302886963;5
1407756408960410000;280.302886963;5
1407756408988370000;280.402893066;5
1407756409017920000;280.402893066;5
