%time,field.joint1,field.joint2,field.joint3,field.joint4,field.joint5,field.joint6
1407756403045515556,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403058461961,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403071466589,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403084444240,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403097422401,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403110501091,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403123552747,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403136504800,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403148517719,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403161512301,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403175477504,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403188510991,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403201541734,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403214509099,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403227595844,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403239449828,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403251571589,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403263511881,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403276493412,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403288459329,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403300494782,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403313558092,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403325523440,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403337505464,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403348459526,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403360527874,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403373481735,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403385509238,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403397618669,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403409575558,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403421516803,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403434544461,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403446572420,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403460523664,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403473574679,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403485528654,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403497399235,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403510590705,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403523653088,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403536519441,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403546688359,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403560546224,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403573526215,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
1407756403586492219,279.102813721,170.204040527,49.7822875977,226.840057373,93.2027130127,80.3148345947
