%time,field.joint1,field.joint2,field.joint3,field.joint4,field.joint5,field.joint6
1407759969716913109,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759969816837384,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759969916675481,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759970016788589,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759970116718076,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759970216687832,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759970315775715,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759970416787439,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759970515842417,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759970616831439,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759970715675874,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759970816810132,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759970916699424,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759971016657533,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759971116802445,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759971216692346,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759971316658576,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759971416791108,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759971516761487,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759971616898860,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759971716736640,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759971816678050,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759971916756970,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759972016656509,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759972115682880,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759972216708761,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759972315714531,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759972421761621,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759972523630228,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759972620772896,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759972719593402,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759972820656713,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759972933777549,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759973030666273,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759973132637175,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759973229741221,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759973318707740,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759973431710366,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759973524614205,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759973631571434,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759973726598605,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759973820602730,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759973934699016,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759974025690572,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759974134704325,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759974231806682,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759974325599969,160.780212402,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759974435687544,161.08013916,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759974527605282,161.280090332,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759974624625297,161.58001709,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759974735655793,161.879943848,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759974833692008,162.179870605,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759974928596736,162.379821777,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759975020589119,162.579772949,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759975118655820,162.879699707,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759975218576511,163.179626465,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759975331673050,163.479553223,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759975421600245,163.77947998,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759975528702673,164.079406738,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759975626680798,164.27935791,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759975719575547,164.479309082,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759975819667687,164.77923584,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759975918658033,165.079162598,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759976027570778,165.27911377,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759976120691080,165.579040527,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759976231726979,165.878967285,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759976324611651,166.078918457,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759976418558960,166.578796387,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759976530567899,167.278625488,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759976618668539,167.878479004,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
1407759976724635090,168.678283691,170.749511719,49.6910476685,226.85043335,93.4792938232,79.8266601562
