%time,field.joint1,field.joint2,field.joint3,field.joint4,field.joint5,field.joint6
1407757440952942762,0.0,0.0,0.0,0.0,0.0,0.0
1407757440953944307,0.0,0.0,0.0,0.0,0.0,0.0
1407757440954997689,0.0,0.0,0.0,0.0,0.0,0.0
1407757440955965476,0.0,0.0,0.0,0.0,0.0,0.0
1407757440956958136,0.0,0.0,0.0,0.0,0.0,0.0
1407757440957968251,0.0,0.0,0.0,0.0,0.0,0.0
1407757440958967558,0.0,0.0,0.0,0.0,0.0,0.0
1407757440959951530,0.0,0.0,0.0,0.0,0.0,0.0
1407757440960958643,0.0,0.0,0.0,0.0,0.0,0.0
1407757440961960413,0.0,0.0,0.0,0.0,0.0,0.0
1407757440962941396,0.0,0.0,0.0,0.0,0.0,0.0
1407757440963936109,0.0,0.0,0.0,0.0,0.0,0.0
1407757440964965174,0.0,0.0,0.0,0.0,0.0,0.0
1407757440965956717,0.0,0.0,0.0,0.0,0.0,0.0
1407757440966966817,0.0,0.0,0.0,0.0,0.0,0.0
1407757440967949599,0.0,0.0,0.0,0.0,0.0,0.0
1407757440968955054,0.0,0.0,0.0,0.0,0.0,0.0
1407757440969938230,0.0,0.0,0.0,0.0,0.0,0.0
1407757440970949072,0.0,0.0,0.0,0.0,0.0,0.0
1407757440971948313,0.0,0.0,0.0,0.0,0.0,0.0
1407757440972959249,0.0,0.0,0.0,0.0,0.0,0.0
1407757440973963363,0.0,0.0,0.0,0.0,0.0,0.0
1407757440974939354,0.0,0.0,0.0,0.0,0.0,0.0
1407757440975963941,0.0,0.0,0.0,0.0,0.0,0.0
1407757440976963677,0.0,0.0,0.0,0.0,0.0,0.0
1407757440977963546,0.0,0.0,0.0,0.0,0.0,0.0
1407757440978985332,0.0,0.0,0.0,0.0,0.0,0.0
1407757440979960886,0.0,0.0,0.0,0.0,0.0,0.0
1407757440980968004,0.0,0.0,0.0,0.0,0.0,0.0
1407757440981950824,0.0,0.0,0.0,0.0,0.0,0.0
1407757440982986254,0.0,0.0,0.0,0.0,0.0,0.0
