%time.ns;field.joint1.deg;Vel.deg/s;Pente.deg/ns;Pente.deg/s
1407757441005410000;279.139221191;0;;
1407757441100490000;279.139221191;0;0;0
1407757441199400000;279.139221191;0;0;0
1407757441301290000;279.139221191;0;0;0
1407757441397420000;279.139221191;0;0;0
1407757441503310000;279.139221191;0;0;0
1407757441598270000;279.139221191;0;0;0
1407757441693390000;279.139221191;0;0;0
1407757441804300000;279.139221191;0;0;0
1407757441897350000;279.139221191;0;0;0
1407757441988430000;279.139221191;0;0;0
1407757442090300000;279.139221191;0;0;0
1407757442199380000;279.139221191;0;0;0
1407757442299340000;279.139221191;0;0;0
1407757442392260000;279.139221191;0;0;0
1407757442493400000;279.139221191;0;0;0
1407757442603390000;279.139221191;0;0;0
1407757442686250000;279.139221191;30;0;0
1407757442702290000;279.139221191;30;0;0
1407757442796450000;279.139221191;30;0;0
1407757442891440000;279.739074707;30;6.31458360562849E-009;6.3145836056
1407757442997250000;280.738830566;30;9.44837375515633E-009;9.4483737552
1407757443094410000;282.338439941;30;1.64632821865778E-008;16.4632821866
1407757443189360000;284.237976074;30;0.00000002;20.0056161368
1407757443302400000;286.337463379;30;1.85744945601304E-008;18.5744945601
1407757443400310000;288.836853027;30;2.55256801211548E-008;25.5256801212
1407757443494280000;291.436218262;30;2.76632559936649E-008;27.6632559937
1407757443599360000;294.135559082;30;2.56878567867825E-008;25.6878567868
1407757443696400000;296.734924316;30;2.67875584235045E-008;26.7875584235
1407757443803340000;299.234313965;30;2.33700622988564E-008;23.3700622989
1407757443891350000;301.833679199;30;2.95364368876738E-008;29.5364368877
1407757444003420000;304.53302002;30;2.40856773379302E-008;24.0856773379
1407757444089360000;307.332336426;30;3.25742866490636E-008;32.5742866491
1407757444200260000;309.93170166;30;2.34390981613777E-008;23.4390981614
1407757444299350000;312.731018066;30;2.82489503961309E-008;28.2489503961
1407757444388310000;315.130432129;30;0.000000027;26.9710545987
1407757444493230000;318.029724121;30;2.76334766660082E-008;27.633476666
1407757444593330000;320.729064941;30;0.000000027;26.9683470544
1407757444686360000;320.729064941;40;0;0
1407757444706280000;323.328430176;40;1.30519576440886E-007;130.5195764409
1407757444797370000;325.92779541;40;2.85352931869886E-008;28.535293187
1407757444889410000;328.62713623;40;2.9329561760628E-008;29.3295617606
1407757445002280000;331.626403809;40;2.65714016353694E-008;26.5714016354
1407757445089350000;334.925598145;40;3.78929787975369E-008;37.8929787975
1407757445202400000;338.22479248;40;2.91824107511331E-008;29.1824107511
1407757445300250000;341.324035645;40;3.16738709104971E-008;31.6738709105
1407757445403400000;344.62322998;40;0.000000032;31.9862347169
1407757445490430000;347.82244873;40;3.67570274309314E-008;36.7570274309
1407757445592270000;351.221618652;40;3.33784332602966E-008;33.3784332603
1407757445689350000;354.520812988;40;0.000000034;33.9859648602
1407757445805300000;357.720031738;40;2.75893356459302E-008;27.5893356459
1407757445891230000;1.0192260742;40;-4.15107569831689E-006;-4151.0756983169
1407757445995410000;4.2184448242;40;3.0709861605234E-008;30.7098616052
1407757446090320000;7.5176391602;40;3.47611232407419E-008;34.7611232407
1407757446196360000;10.8168334961;40;3.1113691918431E-008;31.1136919184
1407757446296250000;14.216003418;40;0.000000034;34.0275015951
1407757446392250000;17.415222168;40;3.33266172481693E-008;33.3266172482
1407757446503370000;20.514465332;40;2.78891902816812E-008;27.8891902817
1407757446600300000;23.713684082;40;0.000000033;33.0083154839
1407757446686870000;23.713684082;50;0;0
1407757446695240000;26.912902832;50;3.82228115680915E-007;382.2281156809
1407757446802890000;30.112121582;50;2.97168558123422E-008;29.7168558123
1407757446892470000;33.411315918;50;3.68300993521321E-008;36.8300993521
1407757447003250000;36.7105102539;50;2.97813860520256E-008;29.781386052
1407757447095350000;40.0097045898;50;3.5824124095839E-008;35.8241240958
1407757447191340000;43.2089233398;50;3.3328483722894E-008;33.3284837229
1407757447303360000;46.4081420898;50;2.85583171665688E-008;28.5583171666
1407757447397490000;49.7073364258;50;3.50509899286876E-008;35.0509899287
1407757447503250000;52.9065551758;50;3.02484079211788E-008;30.2484079212
1407757447592310000;56.1057739258;50;3.59246038479975E-008;35.924603848
1407757447696710000;59.4049682617;50;3.15993474759939E-008;31.599347476
1407757447799230000;62.7041625977;50;3.21820875628972E-008;32.1820875629
1407757447897240000;65.9033813477;50;3.2643085399982E-008;32.6430854
1407757447994340000;69.2025756836;50;0.000000034;33.9763776429
1407757448091220000;72.3018188477;50;0.000000032;31.9896488019
1407757448196260000;75.5010375977;50;3.04580009363553E-008;30.4580009364
1407757448303320000;78.7002563477;50;2.98827074179519E-008;29.882707418
1407757448391230000;81.9994506836;50;3.75266519751483E-008;37.5266519751
1407757448499330000;85.2986450195;50;3.05201708768022E-008;30.5201708768
1407757448592240000;88.4978637695;50;3.44342537575223E-008;34.4342537575
1407757448687610000;88.4978637695;60;0;0
1407757448703350000;91.7970581055;60;2.09702516841317E-007;209.7025168413
1407757448796250000;94.9962768555;60;3.44343486383745E-008;34.4343486384
1407757448892220000;98.1954956055;60;3.3337374566675E-008;33.3373745667
1407757449003280000;101.29473877;60;2.79046825308531E-008;27.9046825309
1407757449100280000;104.593933105;60;0.000000034;34.0156567866
1407757449195200000;107.793151855;60;3.37031196272536E-008;33.7031196273
1407757449290300000;110.992370605;60;3.36397041195484E-008;33.6397041195
1407757449403430000;114.191589355;60;2.82788848659423E-008;28.2788848659
1407757449494380000;117.390808105;60;3.51755215472776E-008;35.1755215473
1407757449591380000;120.690002441;60;0.000000034;34.012963547
1407757449698240000;123.989196777;60;3.08739045883911E-008;30.8739045884
1407757449805320000;127.288391113;60;3.08107953920598E-008;30.8107953921
1407757449900370000;130.587585449;60;3.47112206654329E-008;34.7112206654
1407757449991200000;133.786804199;60;3.52226140496098E-008;35.2226140496
1407757450102330000;136.986022949;60;2.87875815571377E-008;28.7875815571
1407757450195230000;140.285217285;60;3.5511889786887E-008;35.5118897869
1407757450303310000;143.484436035;60;2.96002241691261E-008;29.6002241691
1407757450395190000;146.683654785;60;3.48185877536457E-008;34.8185877536
1407757450496180000;149.882873535;60;3.16800302229995E-008;31.680030223
1407757450599350000;153.182067871;60;0.000000032;31.9778217452
1407757450688130000;153.182067871;0;0;0
1407757450691440000;156.481262207;0;0.000000999;999.0292926357
1407757450803180000;159.380554199;0;2.59452460281552E-008;25.9452460282
1407757450895290000;160.480285645;0;1.19402793986747E-008;11.9402793987
1407757450991330000;160.680236816;0;2.08189201029585E-009;2.0818920103
1407757451091190000;160.780212402;0;0.000000001;1.001116738
1407757451201330000;160.780212402;0;0;0
1407757451293300000;160.780212402;0;0;0
1407757451399180000;160.780212402;0;0;0
1407757451495270000;160.780212402;0;0;0
1407757451596510000;160.780212402;0;0;0
1407757451690320000;160.780212402;0;0;0
1407757451792260000;160.780212402;0;0;0
1407757451898280000;160.780212402;0;0;0
1407757452003290000;160.780212402;0;0;0
1407757452099270000;160.780212402;0;0;0
1407757452191300000;160.780212402;0;0;0
1407757452304250000;160.780212402;0;0;0
1407757452401170000;160.780212402;0;0;0
1407757452491180000;160.780212402;0;0;0
1407757452590290000;160.780212402;0;0;0
1407757452704360000;160.780212402;0;0;0
1407757452787390000;160.780212402;0;0;0
1407757452886460000;160.780212402;0;0;0
1407757452987330000;160.780212402;0;0;0
1407757453087340000;160.780212402;0;0;0
1407757453186320000;160.780212402;0;0;0
1407757453286200000;160.780212402;0;0;0
1407757453387360000;160.780212402;0;0;0
1407757453487340000;160.780212402;0;0;0
1407757453587200000;160.780212402;0;0;0
1407757453687390000;160.780212402;0;0;0
1407757453786220000;160.780212402;0;0;0
1407757453887310000;160.780212402;0;0;0
1407757453986210000;160.780212402;0;0;0
1407757454087330000;160.780212402;0;0;0
1407757454186240000;160.780212402;0;0;0
