%time.ns;field.joint1.deg;Vel.deg/s;pente;Vel.deg/s
1407759972421760000;160.780212402;0;;
1407759972523630000;160.780212402;0;0;0
1407759972620770000;160.780212402;0;0;0
1407759972719590000;160.780212402;0;0;0
1407759972820660000;160.780212402;0;0;0
1407759972933780000;160.780212402;0;0;0
1407759973030670000;160.780212402;0;0;0
1407759973132640000;160.780212402;0;0;0
1407759973229740000;160.780212402;0;0;0
1407759973318710000;160.780212402;0;0;0
1407759973431710000;160.780212402;0;0;0
1407759973524610000;160.780212402;0;0;0
1407759973631570000;160.780212402;0;0;0
1407759973726600000;160.780212402;0;0;0
1407759973820600000;160.780212402;0;0;0
1407759973934700000;160.780212402;0;0;0
1407759974025690000;160.780212402;0;0;0
1407759974134700000;160.780212402;0;0;0
1407759974206390000;160.780212402;5;0;0
1407759974231810000;160.780212402;5;0;0
1407759974325600000;160.780212402;5;0;0
1407759974435690000;161.08013916;5;2.72443526832428E-009;2.7244352683
1407759974527610000;161.280090332;5;2.17533140128336E-009;2.1753314013
1407759974624630000;161.58001709;5;3.09138593463489E-009;3.0913859346
1407759974735660000;161.879943848;5;2.70129993437479E-009;2.7012999344
1407759974833690000;162.179870605;5;3.05935426679298E-009;3.0593542668
1407759974928600000;162.379821777;5;2.10685976452704E-009;2.1068597645
1407759975020590000;162.579772949;5;2.17356374966952E-009;2.1735637497
1407759975118660000;162.879699707;5;3.05839591523676E-009;3.0583959152
1407759975218580000;163.179626465;5;0.000000003;3.0016496892
1407759975331670000;163.479553223;5;2.65194959174052E-009;2.6519495917
1407759975421600000;163.77947998;5;3.33521852928784E-009;3.3352185293
1407759975528700000;164.079406738;5;2.80037884933239E-009;2.8003788493
1407759975626680000;164.27935791;5;0.000000002;2.0407685501
1407759975719580000;164.479309082;5;2.15244926729957E-009;2.1524492673
1407759975819670000;164.77923584;5;0.000000003;2.9965136641
1407759975918660000;165.079162598;5;0.000000003;3.0298511398
1407759976027570000;165.27911377;5;1.83588151030341E-009;1.8358815103
1407759976120690000;165.579040527;5;3.2208540857102E-009;3.2208540857
1407759976207180000;165.579040527;10;0;0
1407759976231730000;165.878967285;10;1.22179234593183E-008;12.2179234593
1407759976324610000;166.078918457;10;2.15267469689827E-009;2.1526746969
1407759976418560000;166.578796387;10;5.32084267049956E-009;5.3208426705
1407759976530570000;167.278625488;10;6.24795999821995E-009;6.2479599982
1407759976618670000;167.878479004;10;6.80873298853993E-009;6.8087329885
1407759976724640000;168.678283691;10;7.54770604493893E-009;7.5477060449
1407759976825560000;169.378112793;10;6.93424302300313E-009;6.934243023
1407759976920660000;170.077941895;10;7.35912109038496E-009;7.3591210904
1407759977027570000;170.67779541;10;5.61085639397211E-009;5.610856394
1407759977127560000;171.377624512;10;0.000000007;6.9987747753
1407759977224700000;172.077453613;10;7.20435635016066E-009;7.2043563502
1407759977325600000;172.777282715;10;6.93596719318912E-009;6.9359671932
1407759977420690000;173.177185059;10;4.20557433569349E-009;4.2055743357
1407759977521550000;173.777038574;10;5.94709138224146E-009;5.9470913822
1407759977631550000;174.476867676;10;6.36232705881382E-009;6.3623270588
1407759977727640000;175.076721191;10;6.24229840069868E-009;6.2422984007
1407759977834580000;175.776550293;10;6.54443204023699E-009;6.5444320402
1407759977922650000;176.276428223;10;5.67560985014181E-009;5.6756098501
1407759978021620000;176.776306152;10;5.0507707115192E-009;5.0507707115
1407759978134740000;177.276184082;10;4.41886574244321E-009;4.4188657424
1407759978210180000;177.276184082;15;0;0
1407759978222710000;177.876037598;15;4.78668450088882E-008;47.8668450089
1407759978329590000;178.475891113;15;5.61242878521254E-009;5.6124287852
1407759978428670000;179.275695801;15;8.07196281210623E-009;8.0719628121
1407759978520730000;180.27545166;15;1.08599913355209E-008;10.8599913355
1407759978629560000;181.575134277;15;1.19419313638767E-008;11.9419313639
1407759978723560000;182.674865723;15;1.17003700390235E-008;11.700370039
1407759978819620000;183.874572754;15;1.24888554612445E-008;12.4888554612
1407759978927550000;185.074279785;15;1.11151959950468E-008;11.115195995
1407759979023640000;186.074035645;15;1.0404329599404E-008;10.4043295994
1407759979117630000;187.273742676;15;1.27638662097619E-008;12.7638662098
1407759979226520000;188.573425293;15;1.19362318146592E-008;11.9362318147
1407759979323660000;189.673156738;15;1.13214894503246E-008;11.3214894503
1407759979432550000;190.87286377;15;0.000000011;11.0170240629
1407759979526660000;191.772644043;15;9.56107714494159E-009;9.5610771449
1407759979629640000;192.972351074;15;1.16497185731138E-008;11.6497185731
1407759979718570000;193.972106934;15;1.12427599187159E-008;11.2427599187
1407759979831650000;195.371765137;15;1.23774457703651E-008;12.3774457704
1407759979925780000;196.371520996;15;1.06209632502268E-008;10.6209632502
1407759980033700000;197.571228027;15;1.11169098707722E-008;11.1169098708
1407759980117610000;198.670959473;15;1.31048613224292E-008;13.1048613224
1407759980210510000;198.670959473;20;0;0
1407759980234200000;199.97064209;20;5.48668578385218E-008;54.8668578385
1407759980319520000;201.170349121;20;1.40597978790207E-008;14.059797879
1407759980424530000;202.869934082;20;1.61859413608135E-008;16.1859413608
1407759980523620000;204.469543457;20;1.61420071638769E-008;16.1420071639
1407759980628620000;206.269104004;20;1.71399777792596E-008;17.1399777793
1407759980721690000;207.868713379;20;1.71862512751015E-008;17.1862512751
1407759980825680000;209.56829834;20;1.63435309143565E-008;16.3435309144
1407759980927520000;211.467834473;20;1.86534041407471E-008;18.6534041407
1407759981030650000;213.167419434;20;1.64789433870955E-008;16.4789433871
1407759981122520000;214.767028809;20;1.74120105921355E-008;17.4120105921
1407759981230640000;216.566589355;20;1.66442519837392E-008;16.6442519837
1407759981330430000;218.16619873;20;0.000000016;16.0300312498
1407759981422620000;219.66583252;20;1.62671878774911E-008;16.2671878775
1407759981522580000;221.36541748;20;0.000000017;17.0022478859
1407759981633490000;223.164978027;20;1.62256072004901E-008;16.2256072005
1407759981729660000;224.764587402;20;1.66331901760188E-008;16.633190176
1407759981819520000;226.164245605;20;1.55759704841624E-008;15.5759704842
1407759981927500000;228.063781738;20;1.75905074167095E-008;17.5905074167
1407759982021580000;229.663391113;20;0.000000017;17.0025581387
1407759982132730000;231.46295166;20;1.61908141242992E-008;16.1908141243
1407759982209580000;231.46295166;20;0;0
1407759982224600000;232.962585449;0;9.98303394447972E-008;99.8303394448
1407759982333570000;234.362243652;0;1.28446492257117E-008;12.8446492257
1407759982425540000;234.762145996;0;4.34839809389263E-009;4.3483980939
1407759982519620000;234.762145996;0;0;0
1407759982626550000;234.762145996;0;0;0
1407759982722510000;234.862121582;0;0.000000001;1.0418596592
1407759982819590000;234.862121582;0;0;0
1407759982927680000;234.862121582;0;0;0
1407759983022510000;234.862121582;0;0;0
1407759983121500000;234.862121582;0;0;0
1407759983231630000;234.862121582;0;0;0
1407759983325580000;234.862121582;0;0;0
1407759983422550000;234.862121582;0;0;0
1407759983524670000;234.862121582;0;0;0
1407759983619650000;234.862121582;0;0;0
1407759983731670000;234.862121582;0;0;0
1407759983826580000;234.862121582;0;0;0
1407759983928510000;234.862121582;0;0;0
1407759984021650000;234.862121582;0;0;0
1407759984133620000;234.862121582;0;0;0
1407759984219540000;234.862121582;0;0;0
1407759984316550000;234.862121582;0;0;0
1407759984416690000;234.862121582;0;0;0
1407759984515720000;234.862121582;0;0;0
1407759984616550000;234.862121582;0;0;0
1407759984716710000;234.862121582;0;0;0
1407759984816840000;234.862121582;0;0;0
1407759984917600000;234.862121582;0;0;0
1407759985016540000;234.862121582;0;0;0
1407759985116780000;234.862121582;0;0;0
1407759985216730000;234.862121582;0;0;0
1407759985315540000;234.862121582;0;0;0
1407759985416690000;234.862121582;0;0;0
1407759985517660000;234.862121582;0;0;0
1407759985616540000;234.862121582;0;0;0
1407759985716620000;234.862121582;0;0;0
1407759985816650000;234.862121582;0;0;0
1407759985917560000;234.862121582;0;0;0
1407759986016550000;234.862121582;0;0;0
1407759986116680000;234.862121582;0;0;0
1407759986216650000;234.862121582;0;0;0
1407759986315580000;234.862121582;0;0;0
