%time;position.joint1.rand;position.sended.rad
1407780396185620000;-1.7299356483;
1407780396284580000;-1.7299356483;
1407780396385590000;-1.7299356483;
1407780396484700000;-1.7299356483;
1407780396585660000;-1.7299356483;
1407780396684540000;-1.7299356483;
1407780396784670000;-1.7299356483;
1407780396884660000;-1.7299356483;
1407780396985560000;-1.7299356483;
1407780397084590000;-1.7299356483;
1407780397184550000;-1.7299356483;
1407780397284550000;-1.7299356483;
1407780397385530000;-1.7299356483;
1407780397485700000;-1.7299356483;
1407780397584590000;-1.7299356483;
1407780397684560000;-1.7299356483;
1407780397784560000;-1.7299356483;
1407780397885780000;-1.7299356483;
1407780397985620000;-1.7299356483;
1407780398084540000;-1.7299356483;
1407780398185700000;-1.7299356483;
1407780398284540000;-1.7299356483;
1407780398384550000;-1.7299356483;
1407780398486530000;-1.7299356483;
1407780398584560000;-1.7299356483;
1407780398684600000;-1.7299356483;
1407780398784520000;-1.7299356483;
1407780398830290000;-1.7299356483;-1.73933
1407780398884650000;-1.7299356483;
1407780398984520000;-1.7299356483;
1407780399085680000;-1.7299356483;
1407780399184590000;-1.7299356483;
1407780399285520000;-1.7299356483;
1407780399385740000;-1.7299356483;
1407780399484570000;-1.7299356483;
1407780399584520000;-1.7299356483;
1407780399684730000;-1.7299356483;
1407780399785530000;-1.7299356483;
1407780399884540000;-1.7299356483;
1407780399984740000;-1.7299356483;
1407780400084560000;-1.7299356483;
1407780400185540000;-1.7299356483;
1407780400284640000;-1.7299356483;
1407780400385500000;-1.7299356483;
1407780400484620000;-1.7299356483;
1407780400585750000;-1.7299356483;
1407780400685550000;-1.7299356483;
1407780400785640000;-1.7299356483;
1407780400884710000;-1.7299356483;
1407780400984500000;-1.7299356483;
1407780401084600000;-1.7299356483;
1407780401185660000;-1.7299356483;
1407780401284540000;-1.7299356483;
1407780401384480000;-1.7299356483;
1407780401484710000;-1.7299356483;
1407780401585490000;-1.7299356483;
1407780401684500000;-1.7299356483;
1407780401785660000;-1.7299356483;
1407780401885600000;-1.7299356483;
1407780401984560000;-1.7299356483;
1407780402084500000;-1.7299356483;
1407780402185640000;-1.7299356483;
1407780402284580000;-1.7299356483;
1407780402384660000;-1.7299356483;
1407780402484520000;-1.7299356483;
1407780402585610000;-1.7299356483;
1407780402684520000;-1.7299356483;
1407780402784500000;-1.7299356483;
1407780402884490000;-1.7299356483;
1407780402985570000;-1.7299356483;
1407780403084490000;-1.7299356483;
1407780403184510000;-1.7299356483;
1407780403285670000;-1.7299356483;
1407780403384960000;-1.7299356483;
1407780403484600000;-1.7299356483;
1407780403584490000;-1.7299356483;
1407780403684600000;-1.7299356483;
1407780403785550000;-1.7299356483;
1407780403884470000;-1.7299356483;
1407780403985610000;-1.7299356483;
1407780404084470000;-1.7299356483;
1407780404185580000;-1.7299356483;
1407780404285560000;-1.7299356483;
1407780404384450000;-1.7299356483;
1407780404484680000;-1.7299356483;
1407780404585620000;-1.7299356483;
1407780404684450000;-1.7299356483;
1407780404785570000;-1.7299356483;
1407780404884650000;-1.7299356483;
1407780404984460000;-1.7299356483;
1407780405084590000;-1.7299356483;
1407780405185900000;-1.7299356483;
1407780405284480000;-1.7299356483;
1407780405385470000;-1.7299356483;
1407780405484630000;-1.7299356483;
1407780405585770000;-1.7299356483;
1407780405684500000;-1.7299356483;
1407780405785470000;-1.7299356483;
1407780405884590000;-1.7299356483;
1407780405984600000;-1.7299356483;
1407780406084580000;-1.7299356483;
1407780406185610000;-1.7299356483;
1407780406285590000;-1.7299356483;
1407780406385450000;-1.7299356483;
1407780406484460000;-1.7299356483;
1407780406585630000;-1.7299356483;
1407780406684840000;-1.7299356483;
1407780406784450000;-1.7299356483;
1407780406884450000;-1.7299356483;
1407780406984550000;-1.7299356483;
1407780407084420000;-1.7299356483;
1407780407185450000;-1.7299356483;
1407780407284680000;-1.7299356483;
1407780407385430000;-1.7299356483;
1407780407484430000;-1.7299356483;
1407780407585590000;-1.7299356483;
1407780407684570000;-1.7299356483;
1407780407785510000;-1.7299356483;
1407780407885450000;-1.7299356483;
1407780407984430000;-1.7299356483;
1407780408084740000;-1.7299356483;
1407780408185590000;-1.7299356483;
1407780408284410000;-1.7299356483;
1407780408385490000;-1.7299356483;
1407780408484570000;-1.7299356483;
1407780408585410000;-1.7299356483;
1407780408684440000;-1.7299356483;
1407780408785530000;-1.7299356483;
1407780408830470000;-1.7299356483;-1.84072
1407780408884520000;-1.7299356483;
1407780408985380000;-1.7491354418;
1407780409084540000;-1.8014985152;
1407780409168660000;-1.8014985152;-1.94211
1407780409202490000;-1.8294254876;
1407780409284580000;-1.8398981023;
1407780409385530000;-1.8852794325;
1407780409484440000;-1.9236790197;
1407780409504130000;-1.9236790197;-2.1449
1407780409584570000;-1.9341516343;
1407780409684470000;-1.9690603499;
1407780409785480000;-2.0179325517;
1407780409884420000;-2.0336414737;
1407780409984430000;-2.0528412673;
1407780410085440000;-2.1034589049;
1407780410183560000;-2.1034589049;-2.24629
1407780410187380000;-2.1313858773;
1407780410284450000;-2.1383676204;
1407780410385540000;-2.173276336;
1407780410484580000;-2.220403102;
1407780410535550000;-2.220403102;-2.34768
1407780410584420000;-2.236112024;
1407780410685550000;-2.2553118176;
1407780410784390000;-2.3059294552;
1407780410875530000;-2.3059294552;-2.44907
1407780410909370000;-2.3373472992;
1407780410984580000;-2.3443290423;
1407780411084600000;-2.386219501;
1407780411185540000;-2.4298553954;
1407780411219570000;-2.4298553954;-2.55047
1407780411284420000;-2.4403280101;
1407780411384410000;-2.4665095468;
1407780411484590000;-2.5188726201;
1407780411556630000;-2.5188726201;-2.65186
1407780411587400000;-2.5380724137;
1407780411684410000;-2.5555267715;
1407780411785440000;-2.606144409;
1407780411884670000;-2.6375622531;
1407780411900500000;-2.6375622531;-2.85464
1407780411985410000;-2.6445439962;
1407780412084410000;-2.6794527117;
1407780412185670000;-2.7283249135;
1407780412284370000;-2.7440338355;
1407780412384380000;-2.7667245007;
1407780412484560000;-2.819087574;
1407780412570560000;-2.819087574;-2.95604
1407780412608410000;-2.8435236749;
1407780412684420000;-2.8522508538;
1407780412785520000;-2.8993776198;
1407780412884480000;-2.9377772069;
1407780412909440000;-2.9377772069;-3.05743
1407780412985440000;-2.9482498216;
1407780413084550000;-2.9796676656;
1407780413185520000;-3.0302853032;
1407780413248570000;-3.0302853032;-3.15882
1407780413284610000;-3.0459942252;
1407780413386530000;-3.0425033537;
1407780413487380000;-2.9953765876;
1407780413584480000;-2.9342863354;
1407780413684520000;-2.86621434;
1407780413785550000;-2.7963969089;
1407780413884440000;-2.7283249135;
1407780413985550000;-2.6585074824;
1407780414084450000;-2.5886900513;
1407780414185410000;-2.5206180559;
1407780414284540000;-2.4508006248;
1407780414385530000;-2.3809831936;
1407780414485520000;-2.3129111983;
1407780414585410000;-2.2430937671;
1407780414684520000;-2.1750217718;
1407780414785440000;-2.1052043406;
1407780414884380000;-2.0353869095;
1407780414985500000;-1.9673149141;
1407780415084660000;-1.897497483;
1407780415185390000;-1.8294254876;
1407780415284480000;-1.7596080565;
1407780415385510000;-1.6897906254;
1407780415484420000;-1.62171863;
1407780415585540000;-1.5519011989;
1407780415684370000;-1.4838292035;
1407780415785450000;-1.4105209008;
1407780415884560000;-1.3441943412;
1407780415985380000;-1.2761223459;
1407780416085510000;-1.2063049147;
1407780416185550000;-1.1382329194;
1407780416284400000;-1.0684154882;
1407780416385490000;-0.9985980571;
1407780416484550000;-0.9305260617;
1407780416585430000;-0.8607086306;
1407780416685560000;-0.7926366352;
1407780416784330000;-0.7228192041;
1407780416884480000;-0.653001773;
1407780416985500000;-0.581438906;
1407780417084340000;-0.5151123465;
1407780417185540000;-0.4470403511;
1407780417284490000;-0.37722292;
1407780417385330000;-0.3074054888;
1407780417484490000;-0.2393334935;
1407780417585490000;-0.1660251908;
1407780417684510000;-0.101444067;
1407780417785520000;-0.0281357643;
1407780417884380000;0.0381907953;
1407780417984310000;0.1062627907;
1407780418086440000;0.1760802218;
1407780418188300000;0.2493885245;
1407780418284380000;0.3139696483;
1407780418385480000;0.387277951;
1407780418484560000;0.4518590748;
1407780418585400000;0.5251673775;
1407780418684550000;0.5897485013;
1407780418785540000;0.6595659324;
1407780418884490000;0.7293833636;
1407780418985330000;0.8009462305;
1407780419084510000;0.8672727901;
1407780419185470000;0.9353426549;
1407780419284380000;1.0051547597;
1407780419385510000;1.0784574698;
1407780419484510000;1.1430336667;
1407780419585330000;1.2163363768;
1407780419684440000;1.2809125737;
1407780419785490000;1.3542152838;
1407780419884490000;1.4205367834;
1407780419985430000;1.4920941908;
1407780420084340000;1.5584156904;
1407780420185450000;1.6317184004;
1407780420284360000;1.6962945974;
1407780420385320000;1.7695973074;
1407780420484490000;1.8341735044;
1407780420585470000;1.9039856092;
1407780420684370000;1.9720524114;
1407780420784440000;2.0418645162;
1407780420884340000;2.111676621;
1407780420985440000;2.1832340285;
1407780421084420000;2.2495556612;
1407780421185430000;2.3176223302;
1407780421284410000;2.387434435;
1407780421385430000;2.4607371451;
1407780421485310000;2.5253132089;
1407780421584470000;2.59512558;
1407780421684470000;2.663193847;
1407780421785350000;2.7364978886;
1407780421884450000;2.8028207198;
1407780421985540000;2.8743793256;
1407780422084470000;2.9407021568;
1407780422185510000;3.0087701574;
1407780422284280000;3.071602117;
1407780422376610000;3.071602117;-3.26021
1407780422416400000;3.1099993073;
1407780422484470000;3.1134899125;
1407780422585330000;3.0785833275;
1407780422684430000;3.041931573;
1407780422717690000;3.041931573;-3.36161
1407780422785290000;3.0314594909;
1407780422884440000;3.0052795521;
1407780422985320000;2.9511742388;
1407780423057390000;2.9511742388;-3.463
1407780423092430000;2.9337209463;
1407780423184330000;2.919758259;
1407780423284720000;2.8708887204;
1407780423385320000;2.8359821353;
1407780423485400000;2.8290006585;
1407780423585260000;2.8272554891;
1407780423685380000;2.8255100533;
1407780423785390000;2.8255100533;
1407780423884320000;2.8255100533;
1407780423987300000;2.8255100533;
1407780424085290000;2.8255100533;
1407780424185490000;2.8255100533;
1407780424284340000;2.8255100533;
1407780424385300000;2.8255100533;
1407780424485340000;2.8255100533;
1407780424585420000;2.8255100533;
1407780424684400000;2.8255100533;
1407780424785450000;2.8255100533;
1407780424885330000;2.8255100533;
1407780424985410000;2.8255100533;
1407780425084280000;2.8255100533;
1407780425185310000;2.8255100533;
1407780425285420000;2.8255100533;
1407780425385440000;2.8255100533;
1407780425485330000;2.8255100533;
1407780425585390000;2.8255100533;
1407780425684410000;2.8255100533;
1407780425785400000;2.8255100533;
1407780425884320000;2.8255100533;
1407780425985320000;2.8255100533;
1407780426085340000;2.8255100533;
1407780426185300000;2.8255100533;
1407780426285430000;2.8255100533;
